;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Apêndice 47 ao Centésimo Nonagésimo Protocolo Adicional do Acordo de Complementação Econômica N° 18;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12601;;;11/08/2022;Em Vigor
Acordo sobre Subsídios à Pesca da Organização Mundial do Comércio (OMC);Multilateral;;;N/A;Organização Mundial do Comércio - OMC;12600;;;17/06/2022;Tramitação Ministérios/Casa Civil
Acordo, por troca de Notas, para a Prorrogação do Contrato Internacional de Concessão da Ponte Internacional São Borja - Santo Tomé e Infraestruturas Conexas entre a República Federativa do Brasil e a República Argentina, assinado no Rio de Janeiro, em 19 de julho de 2021.;Bilateral;;;Argentina;Obras Públicas;12599;478-A;;19/08/2022;Em Vigor
Resolução 2641 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12598;;;30/06/2022;Em Vigor
Resolução 2633 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12597;;;26/05/2022;Em Vigor
Quarto Protocolo Adicional ao Acordo de Complementação Econômica N° 72 (4PA-ACE72), celebrado entre os Governos da República Argentina, da República Federativa do Brasil, da República do Paraguai e da República Oriental do Uruguai, Estados Partes do MERCOSUL, e o Governo da República da Colômbia;Multilateral;;;N/A;"Aladi 
Comércio Internacional 
Economia";12596;;;28/07/2022;Tramitação MRE
Ata da VI Reunião Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação - COSBAN;Bilateral;;;China;"Comissão Mista 
Cooperação";12595;133;;23/05/2022;Em Vigor
Convenção entre a República Federativa do Brasil e a República da Colômbia para a Eliminação da Dupla Tributação em relação aos Tributos sobre a Renda e a Prevenção da Evasão e da Elisão Fiscais e seu Protocolo.;Bilateral;;;Colômbia;"Cooperação Econômica 
Aduanas, Impostos e Tarifas";12594;161;;05/08/2022;Tramitação Ministérios/Casa Civil
Emenda ao Acordo sobre Cooperação no Âmbito da Defesa entre a República Federativa do Brasil e a República Oriental do Uruguai.;Bilateral;;;Uruguai;Defesa e Assuntos Militares;12593;306-A;;27/07/2022;Tramitação Ministérios/Casa Civil
Acordo sobre o Reconhecimento Mútuo de Medidas de Proteção às Mulheres em Situações de Violência de Gênero entre Estados Partes do MERCOSUL e Estados Associados;Multilateral;;;N/A;"Mercosul 
Mercosul 
Direitos Humanos 
Direitos Humanos 
Cooperação Jurídica";12592;;;20/07/2022;Tramitação Ministérios/Casa Civil
Acordo entre a República Federativa do Brasil e a República do Botsuana sobre a Isenção da Exigência de Visto para os Nacionais da República Federativa do Brasil e os Nacionais da República do Botsuana.;Bilateral;;;Botsuana;Vistos e Imigração;12591;16;;26/07/2022;Em Vigor
Acordo entre o Governo da República Federativa do Brasil e a Secretaria-Geral da Organização dos Estados Americanos referente aos Privilégios e Imunidades dos Observadores das Eleições Gerais a celebrarem-se em 2 de outubro de 2022, em primeiro turno, e 30 de outubro de 2022, em segundo turno;Bilateral;;;OEA - Organização dos Estados Americanos;Privilégios e Imunidades;12590;41;;05/07/2022;Em Vigor
